Sl.No,Language,Language,Exam,Question,Answer Link,,,,,,,,,,,
27,dotnet,web application,with report,IPMS international patient management system dotnet project also called as hpms Hospital patient management system ,https://mega.nz/file/0wQw1R4R#Xa08bp7NizhYdhLum_1g57QhKxS7d-jWz0szCFkHHQU,100,,,,,,,,,,
28,dotnet,asp.net,with report,online cab booking system dotnet asp.net with mysql project ,https://mega.nz/file/Q8AwSZKb#eTTIamfy2qIqb7Egh72WoTqPj-z1ZLDWMcGdAKgSBPQ,100,,,,,,,,,,
29,dotnet,code first,With report,Employee management system dotnet project using code first database ,https://mega.nz/file/Z4I0lBSI#GLRtDwsb3EzWDPy719zUj59uZB1aZmRG5ZFEIsVygQo,80,,,,,,,,,,
30,java,spring mvc,with report,Airline ticket reservation system is and airport ticket booking developed with soring mvc and mysql i guess having clear documentation highe level design and product backlog also video of execution,https://mega.nz/file/whAniADb#6W_U8q1vpf4sW5fPuZioeiCxYKMq22rKovhYbR8imDM,125,,,,,,,,,,
31,java,spring mvc,with report,airport management system is a spring mvc with mysql i guess. Having good doxumentation ,https://mega.nz/file/1wRhgK7L#ropsqgusnKY7XdjOGwyGO8VfRam3iNX5NqQyK1xrKtk,125,,,,,,,,,,
32,java,Angular ,with report,Banking wireframe angular microservice with mysql java project for online banking,https://mega.nz/file/9whSSCBY#5ZBAbeO_yBxuQuXe1Oj853dAAG-55hlVph8IqehbgYc,100,,,,,,,,,,
33,java,spring mvc,with report,contract management system project with springmvc good readymade documentation ,https://mega.nz/file/k5oU2AAR#_AYZ7MBftPpoAiNDOKCb71qe2b5quP_SfKMlBV6zwSI,100,,,,,,,,,,
34,java,web application,with report,Diagnostic Medicare center Management System  INSERT INTO itemmaster VALUES (DMS) website Java/J2EE – Servlet, JSP  INSERT INTO itemmaster VALUES (Back-End JavaScript  INSERT INTO itemmaster VALUES (Front-End) Oracle database Apache Tomcat Server  ,https://mega.nz/file/gx4UkY4Z#S6IZIRHwEZ3LS9hKn4EiOMV7gOePWicMI2YVKrpntQs,100,,,,,,,,,
35,java,QA automation,with report,Easemytrip testing automation for site ease my trip ,https://mega.nz/file/15hGzSBS#u_6JgJPWbTAAfknxpvHQrIkMVprNYvWoaKS6zhbdqAo,70,,,,,,,,,,
36,java,Spring mvc ,with report,Outreach app project for springmvc with good documentation ,https://mega.nz/file/N5oCzYID#QLbrWRUZLHxlXIPQvGFu_07M7saRjLxecAjH_Ini6Tc https://mega.nz/file/hxgm2CKB#ouOj7FJ6DfsVRYZe-5SjlE7epA1GPcrYGfp3pCVo_ow ,125,,,,,,,,,,
37,java,spring mvc,with report,Online bill payment service springmvc angular project ,https://mega.nz/file/B5xUjSJA#typ6kT-J_s2PFGjW6HI9kmWgqQDlBUlFp9foH3UkjW8   https://mega.nz/file/J0wSgYjB#32d73U6c41eX3ROWe_-2E2eIRO5lxLPg_eV0SLQ1Pvc,125,,,,,,,,,,
38,java,microservice,with report,smartshop is java microservice project with good documentation , https://mega.nz/folder/Yoox3K5J#JRWkRfeEd-MSFfS6OU83gw   https://mega.nz/file/xlh0GIrL#O5KX5oMyFW_Z333nVA6eLBoN8g_Z4w4vlJ2IedHO7IU,125,,,,,,,,,,
39,java,Spring mvc,with report,Retailer management java project ,https://mega.nz/file/xwwGQI6Y#v_HLW0z-xs8ZOMRx92WT-BTkTtp7et24_TgjYEEUl6I,100,,,,,,,,,,
40,java,selenium,hackathon,policy bazaar insurance havkathon project,https://mega.nz/file/Y9gWTaJL#F8AfPUGDWFBa_nSLfu5DWp6_7AB0nFFzCYQpHFWX68M,100,,,,,,,,,,
41,java,microservice,with report,policy administration system microservice java project,https://mega.nz/file/A05SlKDT#PuLFuPp4c6p0JpTONWn_vm-EhYlOJHXFB3EUaWjdCvc,100,,,,,,,,,,
42,java,Spring mvc,with report,patient tracker online web master,https://mega.nz/file/014yzKQB#AVIZX1x93deSCpa8AnvH5erRcEn-_b3QUOts73AtiV0,75,,,,,,,,,,
44,java,selenium,ict,Customer registration ict 11 selenium java,https://mega.nz/file/wsxFFCAB#Ihnee_uQMSbcfib90rc9Ig_5hIax2_KQilx0PA-BlLM,10,,,,,,,,,,
